Bar Name,Brand Name,predicted_daily_demand_ml,safety_stock_ml,par_level_ml,stockout_days,lost_volume_ml,average_inventory_ml
Taylor's Bar,Absolut,45.42494661921708,309.03332948188597,399.88322272032013,4,776.9803318390396,326.4277391101523
Thomas's Bar,Smirnoff,54.04451957295374,306.50503483870597,414.59407398461343,8,753.7674081230925,285.8968178754047
Smith's Bar,Malibu,71.08978647686833,360.1244200160362,502.3039929697728,5,752.6440281209088,406.06776840979853
Thomas's Bar,Coors,37.236654804270465,269.44285126094746,343.9161608694884,4,738.7253565220464,305.16504415179963
Johnson's Bar,Miller,40.59871886120996,291.36045617881274,372.55789390123266,6,737.2426365926041,265.93515127003855
Smith's Bar,Yellow Tail,66.03615658362989,357.5544510799981,489.6267642472579,6,735.2261787637105,366.41933266313725
Johnson's Bar,Sutter Home,61.953629893238435,338.6316642949439,462.53892408142076,6,729.9853795928962,359.49907561924886
Taylor's Bar,Yellow Tail,49.01170818505338,293.7954536493534,391.8188700194602,5,708.9645199221592,337.3420959327603
Smith's Bar,Grey Goose,62.71665480427047,369.67126976670414,495.10457937524507,5,705.0916824990197,363.099415501978
Thomas's Bar,Captain Morgan,52.14409252669039,306.65668553372797,410.94487058710877,4,604.4705176515648,310.2074203801104
Johnson's Bar,Jameson,48.90131672597865,294.22715600784574,392.02978945980306,3,596.6906316205908,312.35769457587617
Brown's Bar,Bacardi,61.07957295373666,340.71025063779626,462.8693965452696,3,596.0112069094608,353.6432333596206
Taylor's Bar,Captain Morgan,60.69491103202847,353.5987422026163,474.9885642666732,3,532.6743071999804,369.4331926385037
Smith's Bar,Miller,55.934911032028474,331.01047610407846,442.8802981681354,3,513.3591054955937,383.91125888632126
Johnson's Bar,Bacardi,49.36120996441281,312.5230897775403,411.2455097063659,5,498.8179611745364,303.92967762677523
Johnson's Bar,Jack Daniels,49.419252669039146,328.8661773428874,427.7046826809657,6,489.16190391420594,333.4892433546053
Brown's Bar,Budweiser,49.542313167259785,309.979732097095,409.06435843161455,4,462.97256627354176,350.24724762241834
Anderson's Bar,Yellow Tail,53.60967971530249,343.7189148232466,450.9382742538516,5,460.25862873074203,342.5897849223232
Anderson's Bar,Heineken,51.62007117437722,319.9658750480662,423.20601739682064,4,449.22593041271745,353.93153656337597
Anderson's Bar,Bacardi,75.65879003558719,380.464107421816,531.7816874929904,2,446.32831250700957,411.781076577695
Taylor's Bar,Heineken,28.420249110320285,236.40215467968682,293.24265290032736,2,438.4146941993453,263.49264428622445
Taylor's Bar,Malibu,54.02537366548042,340.02564548134853,448.0763928123094,4,437.9308215630718,331.8969793352128
Brown's Bar,Sutter Home,59.04804270462633,333.3773432693762,451.47342867862886,2,375.6031426427423,368.3033763587062
Johnson's Bar,Captain Morgan,81.62900355871886,380.01923988451927,543.277247001957,2,367.455505996086,417.6593739314243
Anderson's Bar,Miller,55.530035587188614,352.6802140405076,463.74028521488486,1,365.1897147851151,416.1884461947472
Smith's Bar,Jim Beam,70.25106761565836,351.6496854945392,492.15182072585594,3,363.8963585482881,412.62523927651193
Thomas's Bar,Sutter Home,40.449003558718864,293.16087303116177,374.0588801485995,3,344.8833595542016,324.10967900928136
Anderson's Bar,Jameson,66.26918149466192,355.2354431150761,487.77380610439997,1,336.84619389560004,392.5466566366705
Smith's Bar,Jack Daniels,53.48359430604982,321.3223206856843,428.2895092977839,3,310.92147210664825,370.41321273740795
Thomas's Bar,Jack Daniels,74.44355871886121,380.68644450429787,529.5735619420203,3,300.1193141739391,439.20452853846933
Taylor's Bar,Coors,38.847544483985764,275.031960547555,352.7270495155265,3,285.6388514534205,276.797721387454
Brown's Bar,Heineken,57.36462633451957,335.9141388543443,450.64339152338346,3,272.8698254298496,380.3226823805622
Thomas's Bar,Heineken,38.712099644128116,279.07371930174213,356.49791858999833,3,262.6662442300051,317.9096437795759
Anderson's Bar,Malibu,40.29487544483986,288.1324918737831,368.7222427634629,2,240.31551447307424,334.9166234528452
Smith's Bar,Captain Morgan,67.6938078291815,343.63281488039974,479.02043053876275,3,228.91870838371176,415.9758931768782
Anderson's Bar,Captain Morgan,76.35779359430606,398.1982118965678,550.9137990851799,3,226.56860274446035,417.4546047962916
Johnson's Bar,Yellow Tail,52.985729537366545,326.89266352845374,432.86412260318684,3,220.38763219043943,315.3479995662978
Johnson's Bar,Budweiser,56.97362989323843,359.3714543843885,473.3187141708654,3,219.0738574874037,395.479667902905
Brown's Bar,Jack Daniels,58.55227758007117,320.97745291067224,438.0820080708146,2,217.14598385837076,407.2545709964025
Smith's Bar,Coors,44.05540925266904,292.48120643032354,380.5920249356616,3,214.53392519301525,324.218896067859
Brown's Bar,Captain Morgan,53.685231316725975,319.78670727615946,427.1571699096114,2,214.26566018077713,387.58916033723904
Thomas's Bar,Malibu,61.56003558718861,352.9457284927946,476.06579966717186,2,208.81840066565627,390.111388418317
Smith's Bar,Absolut,76.21583629893239,388.75119055678215,541.182863154647,2,164.6242736907061,412.3356595966388
Taylor's Bar,Jack Daniels,69.1717793594306,354.2856792994089,492.62923801827014,2,157.67076198172984,398.7726397642345
Thomas's Bar,Jameson,50.84199288256228,296.817550990619,398.5015367557436,1,133.66846324425637,377.1505075513563
Anderson's Bar,Grey Goose,72.2576512455516,362.26285128402054,506.77815377512377,2,128.48369244975248,421.269243703286
Thomas's Bar,Barefoot,54.314661921708186,325.20589164611243,433.8352154895288,3,123.80435353141348,314.0578733354842
Brown's Bar,Absolut,51.92708185053381,322.86801305673,426.72217675779757,1,110.44782324220239,350.54521403222583
Johnson's Bar,Absolut,76.59555160142348,363.8862068194407,517.0773100222876,2,100.74537995542471,403.26394044356715
Thomas's Bar,Miller,66.95402135231318,391.66187031198143,525.5699130166078,2,94.1001739667845,442.91865031144664
Thomas's Bar,Absolut,58.08576512455516,331.906367314376,448.0778975634863,3,90.68630730954106,356.569906220093
Taylor's Bar,Budweiser,70.68494661921709,384.95793331139083,526.327826549825,2,86.74434690035002,475.3486226110999
Johnson's Bar,Barefoot,68.67864768683275,369.74923616401395,507.1065315376794,1,45.0034684623206,455.30381233943496
Thomas's Bar,Jim Beam,73.87612099644127,384.7112187052251,532.4634606981076,1,31.96653930189234,429.48674349534406
Anderson's Bar,Barefoot,78.3067971530249,387.8352734483715,544.4488677544213,1,29.20113224557872,443.39115316978973
Anderson's Bar,Budweiser,35.80886120996442,260.576433382811,332.19415580273983,0,0.0,332.1941558027397
Brown's Bar,Miller,50.72587188612099,332.66193409348386,434.11367786572583,0,0.0,405.0148046262894
Johnson's Bar,Smirnoff,75.91163701067615,398.5771857722267,550.400459793579,0,0.0,461.18891049780433
